TEMPORADA;COLLECTION;FAMILIA;CODEPRODUIT;CODECOLORIS;NOMPRODUIT;LIBCOLORISMODIFIE;CODEBARRES;CODEINTERNEARTICLE
E26;MODE;T-shirt;1105677;926;261-DNAVY;MARINE/OFF WHITE;3253634680750;632952
E26;MODE;T-shirt;1105677;926;261-DNAVY;MARINE/OFF WHITE;3253634680767;632953
E26;MODE;T-shirt;1105677;926;261-DNAVY;MARINE/OFF WHITE;3253634679884;632864
E26;ESSENTIELS;T-shirt;1105832;1023;261-DANIELA;MAGMA M;3253634692715;634170
E26;ESSENTIELS;T-shirt;1105832;1023;261-DANIELA;MAGMA M;3253634692357;634133
E26;ESSENTIELS;T-shirt;1105832;1023;261-DANIELA;MAGMA M;3253634692692;634168
E26;ESSENTIELS;T-shirt;1105832;1023;261-DANIELA;MAGMA M;3253634692708;634169
E26;ESSENTIELS;T-shirt;1105832;1023;261-DANIELA;MAGMA M;3253634692722;634171
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692883;634187
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692388;634136
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692852;634184
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692869;634185
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692876;634186
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;3253634683621;633252
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;3253634684994;633390
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;3253634685007;633391
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;3253634685014;633392
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;3253634685038;633394
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;3253634685021;633393
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;3253634690643;633960
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;3253634690667;633962
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;3253634690674;633963
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;3253634690681;633964
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;3253634688350;633730
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;3253634690650;633961
E26;MODE;Robe / Tricot;1105731;401;261-RMILAN;DORE;3253634684574;633348
E26;MODE;Robe / Tricot;1105731;401;261-RMILAN;DORE;3253634684581;633349
E26;MODE;Robe / Tricot;1105731;401;261-RMILAN;DORE;3253634684598;633350
E26;MODE;Robe / Tricot;1105731;401;261-RMILAN;DORE;3253634684604;633351
E26;MODE;Robe / Tricot;1105731;401;261-RMILAN;DORE;3253634683515;633241
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318790;594613
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318813;594615
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318820;594616
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318837;594617
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318806;594614
E26;ESSENTIELS;T-shirt;1102191;931;251-DELLA;OFF WHITE M;3253634466668;610064
E26;ESSENTIELS;T-shirt;1102191;931;251-DELLA;OFF WHITE M;3253634466675;610065
E26;ESSENTIELS;T-shirt;1102191;931;251-DELLA;OFF WHITE M;3253634466682;610066
E26;ESSENTIELS;T-shirt;1102191;931;251-DELLA;OFF WHITE M;3253634466699;610067
E26;ESSENTIELS;T-shirt;1102191;931;251-DELLA;OFF WHITE M;3253634466705;610068
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634446929;608022
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422114;605541
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422121;605542
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422138;605543
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422145;605544
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422152;605545
E26;MODE;T-shirt;1105835;931;261-DYLAN;OFF WHITE M;3253634692890;634188
E26;MODE;T-shirt;1105835;931;261-DYLAN;OFF WHITE M;3253634692395;634137
E26;MODE;T-shirt;1105835;931;261-DYLAN;OFF WHITE M;3253634692906;634189
E26;MODE;T-shirt;1105835;931;261-DYLAN;OFF WHITE M;3253634692913;634190
E26;MODE;T-shirt;1105835;931;261-DYLAN;OFF WHITE M;3253634692920;634191
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692425;634140
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692579;634156
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692586;634157
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692593;634158
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692609;634159
